,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
145,PC,Y_GE15,F,FRY1,25.5,26.3,26.0,25.8,25.2,28.3,25.6,25.7,25.0,23.0,23.9,22.2
146,PC,Y_GE15,F,FRY2,24.2,23.0,22.2,22.5,22.6,22.8,19.7,16.7,17.2,19.6,16.8,12.9
147,PC,Y_GE15,F,FRY3,28.8,25.9,24.9,25.5,26.1,26.3,28.3,26.5,24.8,23.8,20.3,20.0
148,PC,Y_GE15,F,FRY4,26.4,29.0,30.0,31.8,30.5,29.7,25.9,24.6,22.0,22.6,24.4,21.7
149,PC,Y_GE15,F,FRY5,,,,,,26.1,30.2,32.0,35.6,33.5,41.8,35.3
150,PC,Y_GE15,F,HR03,11.4,12.0,12.4,13.3,14.0,13.9,17.7,17.0,14.1,11.8,9.8,7.5
151,PC,Y_GE15,F,HR04,9.9,10.1,12.3,13.9,16.9,18.1,18.6,16.9,13.6,11.9,9.1,7.0
152,PC,Y_GE15,F,HU10,5.2,5.9,8.3,8.6,8.2,,,,,,,
153,PC,Y_GE15,F,HU11,,,,,,8.2,7.0,5.5,3.7,3.1,3.5,2.9
154,PC,Y_GE15,F,HU12,,,,,,7.9,6.2,5.2,3.5,2.9,2.2,2.5
155,PC,Y_GE15,F,HU21,6.1,9.6,10.9,10.3,10.3,9.3,5.7,5.0,3.2,2.5,2.3,2.0
156,PC,Y_GE15,F,HU22,6.2,9.2,8.6,7.8,7.2,7.9,5.1,4.2,3.1,3.1,2.9,2.1
157,PC,Y_GE15,F,HU23,9.4,11.0,11.3,13.4,12.5,9.0,7.1,8.5,5.8,6.5,5.8,4.5
158,PC,Y_GE15,F,HU31,12.3,13.9,14.5,16.2,15.3,12.6,10.3,8.8,6.5,6.3,4.9,4.5
159,PC,Y_GE15,F,HU32,12.4,13.9,14.0,14.4,14.4,15.1,12.3,11.0,9.0,8.0,6.7,6.1
160,PC,Y_GE15,F,HU33,8.8,10.9,10.7,10.2,10.3,11.0,8.7,8.3,6.0,4.7,3.7,3.4
161,PC,Y_GE15,F,IE01,6.6,10.0,11.3,13.1,,,,,,,,
162,PC,Y_GE15,F,IE02,5.4,9.3,11.4,12.3,,,,,,,,
163,PC,Y_GE15,F,IE04,,,,,13.2,12.6,10.6,8.7,7.5,5.5,5.4,4.5
164,PC,Y_GE15,F,IE05,,,,,13.8,12.9,11.6,9.5,7.9,6.5,5.9,5.1
165,PC,Y_GE15,F,IE06,,,,,11.9,12.0,10.5,8.6,7.5,6.4,5.6,4.5
166,PC,Y_GE15,F,IS00,2.6,5.7,6.7,6.2,5.7,5.1,4.8,4.1,3.0,2.7,2.5,3.1
167,PC,Y_GE15,F,ITC1,6.4,7.8,8.3,8.5,10.5,11.0,12.1,10.5,10.0,10.2,9.0,9.2
168,PC,Y_GE15,F,ITC2,,,,,6.9,8.1,8.4,8.1,8.5,7.7,7.3,7.2
169,PC,Y_GE15,F,ITC3,7.1,7.1,7.5,7.2,10.2,10.9,11.7,9.5,11.5,11.6,12.2,12.3
170,PC,Y_GE15,F,ITC4,4.8,6.3,6.5,6.6,8.4,8.7,8.8,8.7,8.6,7.7,7.1,6.8
171,PC,Y_GE15,F,ITF1,8.8,10.2,11.3,10.5,13.0,11.6,14.8,15.5,15.2,15.3,14.7,13.5
172,PC,Y_GE15,F,ITF2,12.5,11.0,9.5,11.6,14.4,15.5,15.3,14.7,14.0,14.3,15.1,14.7
173,PC,Y_GE15,F,ITF3,16.7,16.0,17.2,18.9,22.3,23.7,25.3,23.0,23.6,24.0,23.4,22.8
174,PC,Y_GE15,F,ITF4,16.0,16.2,16.3,16.9,18.7,23.2,25.4,21.8,22.7,22.2,18.8,17.6
175,PC,Y_GE15,F,ITF5,15.0,13.9,15.6,13.1,14.4,14.7,16.1,15.8,15.3,14.9,14.3,12.9
176,PC,Y_GE15,F,ITF6,15.6,13.7,13.8,13.4,21.3,23.7,26.5,23.7,26.3,24.2,24.8,22.4
177,PC,Y_GE15,F,ITG1,17.1,16.4,17.1,17.0,20.5,22.9,24.1,22.7,24.0,23.4,24.3,22.5
178,PC,Y_GE15,F,ITG2,15.8,16.0,14.6,14.6,15.8,16.9,19.0,18.2,17.8,17.1,15.0,15.1
179,PC,Y_GE15,F,ITH1,3.0,3.4,3.2,3.8,4.8,5.0,4.3,4.2,4.1,3.9,3.0,3.2
180,PC,Y_GE15,F,ITH2,4.5,4.6,5.2,5.0,6.8,7.9,8.0,7.3,7.1,5.7,5.4,6.2
181,PC,Y_GE15,F,ITH3,5.1,6.3,7.4,6.3,7.7,9.6,9.8,8.8,8.3,7.9,7.8,7.4
182,PC,Y_GE15,F,ITH4,6.4,6.3,6.6,6.5,8.1,9.2,8.9,9.7,9.5,8.1,8.1,7.9
183,PC,Y_GE15,F,ITH5,4.2,5.5,6.9,6.3,7.8,9.6,9.5,9.1,8.0,8.0,7.3,6.6
184,PC,Y_GE15,F,ITI1,7.2,7.8,7.6,7.7,9.5,10.1,11.8,9.7,10.8,9.4,8.5,7.7
185,PC,Y_GE15,F,ITI2,6.8,9.1,8.5,8.1,11.2,11.5,12.6,12.2,10.6,11.8,11.0,10.0
186,PC,Y_GE15,F,ITI3,5.7,7.3,6.8,8.5,10.6,12.5,11.9,11.1,11.7,12.4,9.7,10.7
